session_pitch,time,rear_ankle_angle_x,rear_ankle_angle_y,rear_ankle_angle_z,elbow_angle_x,elbow_angle_y,elbow_angle_z,rear_hip_angle_x,rear_hip_angle_y,rear_hip_angle_z,rear_knee_angle_x,rear_knee_angle_y,rear_knee_angle_z,shoulder_angle_x,shoulder_angle_y,shoulder_angle_z,wrist_angle_x,wrist_angle_y,wrist_angle_z,pelvis_angle_x,pelvis_angle_y,pelvis_angle_z,lead_ankle_angle_x,lead_ankle_angle_y,lead_ankle_angle_z,glove_elbow_angle_x,glove_elbow_angle_y,glove_elbow_angle_z,lead_hip_angle_x,lead_hip_angle_y,lead_hip_angle_z,lead_knee_angle_x,lead_knee_angle_y,lead_knee_angle_z,glove_shoulder_angle_x,glove_shoulder_angle_y,glove_shoulder_angle_z,glove_wrist_angle_x,glove_wrist_angle_y,glove_wrist_angle_z,torso_angle_x,torso_angle_y,torso_angle_z,torso_pelvis_angle_x,torso_pelvis_angle_y,torso_pelvis_angle_z,pkh_time,fp_10_time,fp_100_time,MER_time,BR_time,MIR_time
1031_2,0.0278,102.8402,23.4961,3.7642,96.6486,0,37.6344,-27.1597,-2.0608,10.3839,28.9139,0,0,10.5388,21.6689,-51.1215,18.4306,3.7869,0,8.4037,-2.6791,27.0936,102.4913,9.3376,7.6945,92.7005,0,15.4972,-5.3478,-11.53,8.4486,11.6677,0,0,2.2847,18.9651,-42.9481,1.3926,-2.8272,0,3.3345,-3.0196,26.0407,5.1251,-0.4006,1.0302,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0306,102.8071,23.2911,3.8191,96.6968,0,37.5443,-27.2471,-2.015,10.4546,28.9419,0,0,10.5659,21.7195,-51.2521,18.9253,3.8767,0,8.4733,-2.6571,27.0314,102.4723,9.1761,7.5751,92.7624,0,15.3487,-5.3898,-11.427,8.7434,11.5945,0,0,2.194,18.9664,-42.9479,1.7446,-2.6986,0,3.3489,-3.0025,25.9526,5.1815,-0.4073,1.0557,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0333,102.7765,23.0731,3.8641,96.7606,0,37.4012,-27.333,-1.9624,10.5121,28.9691,0,0,10.5963,21.7807,-51.4326,19.5802,4.0294,0,8.5425,-2.632,26.9685,102.4546,9.0264,7.439,92.8416,0,15.1455,-5.4329,-11.2924,9.031,11.5233,0,0,2.1111,18.9714,-42.9912,2.2529,-2.5001,0,3.3624,-2.9858,25.8612,5.2383,-0.4175,1.0835,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0361,102.7538,22.846,3.898,96.8295,0,37.2413,-27.4197,-1.9087,10.5683,28.9999,0,0,10.6199,21.8457,-51.6263,20.2918,4.2198,0,8.6112,-2.6036,26.9045,102.4419,8.8889,7.3003,92.9279,0,14.9248,-5.4775,-11.145,9.308,11.457,0,0,2.0357,18.9774,-43.0534,2.8268,-2.2713,0,3.3747,-2.9692,25.7663,5.296,-0.4313,1.1136,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0389,102.7432,22.6133,3.9195,96.8952,0,37.0952,-27.5091,-1.859,10.6332,29.0385,0,0,10.6295,21.9085,-51.8031,20.9729,4.4247,0,8.6795,-2.5717,26.8391,102.4373,8.7641,7.1705,93.0128,0,14.7176,-5.524,-11.0011,9.5716,11.3981,0,0,1.9676,18.9825,-43.1137,3.388,-2.0472,0,3.3857,-2.9526,25.6675,5.3548,-0.4488,1.146,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0417,102.7477,22.3779,3.9282,96.9512,0,36.9864,-27.6024,-1.8169,10.7139,29.0879,0,0,10.6211,21.9648,-51.9413,21.5575,4.6242,0,8.7474,-2.5365,26.772,102.4428,8.6525,7.0576,93.0899,0,14.547,-5.5725,-10.8727,9.8196,11.3487,0,0,1.9067,18.985,-43.1564,3.8758,-1.8552,0,3.3952,-2.9361,25.5647,5.4147,-0.4698,1.1804,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0444,102.7691,22.1422,3.9238,96.9937,0,36.9306,-27.7002,-1.785,10.8144,29.1502,0,0,10.5946,22.0116,-52.0285,22.0037,4.8032,0,8.8148,-2.498,26.7028,102.4601,8.5547,6.9657,93.1549,0,14.4276,-5.623,-10.768,10.0503,11.3101,0,0,1.8534,18.9839,-43.1718,4.2493,-1.7146,0,3.4029,-2.9196,25.4579,5.4759,-0.4941,1.2166,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0472,102.8079,21.9081,3.9066,97.0214,0,36.9354,-27.8029,-1.7643,10.9356,29.2268,0,0,10.5525,22.0475,-52.0614,22.2933,4.9512,0,8.8813,-2.4564,26.6314,102.4896,8.4713,6.8951,93.2063,0,14.3654,-5.6756,-10.6906,10.2625,11.2833,0,0,1.808,18.9789,-43.1557,4.4881,-1.6358,0,3.4089,-2.9031,25.3471,5.5381,-0.5215,1.2544,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.05,102.8637,21.677,3.8776,97.0351,0,37.0013,-27.9099,-1.7549,11.0759,29.3179,0,0,10.5003,22.0727,-52.0442,22.4294,5.0623,0,8.9466,-2.412,26.5575,102.5311,8.4031,6.8429,93.2444,0,14.3588,-5.73,-10.6404,10.4552,11.2688,0,0,1.7712,18.97,-43.1091,4.5906,-1.621,0,3.4132,-2.8865,25.2325,5.6009,-0.5517,1.2933,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0528,102.9355,21.4502,3.8379,97.0372,0,37.1231,-28.0207,-1.7555,11.2315,29.4232,0,0,10.4446,22.0884,-51.9871,22.4321,5.135,0,9.0105,-2.3653,26.4809,102.5841,8.351,6.8035,93.2713,0,14.4002,-5.7862,-10.6143,10.6282,11.2667,0,0,1.7433,18.9577,-43.037,4.5703,-1.6656,0,3.4158,-2.8698,25.1144,5.6639,-0.5841,1.333,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
